评论标题,评论内容,标签
人造肉第一股；用现成的原来不值钱的废料植物蛋白质可开发成人造肉，业绩将暴增，将有N个涨停板！,人造肉第一股；用现成的原来不值钱的废料植物蛋白质可开发成人造肉，业绩将暴增，将有N个涨停板！　000639西王食品将榨油后的原来不值钱的废料植物蛋白质开发成人造肉，公司有实力实现废料植物蛋白质开发，公司手握28亿现金用于开发！市盈率才18倍、实际流通市值32亿。　2018年年报：净利润4.68亿元，同比增长36.47%；基本每股收益0.62元。公司拟每10股转增4股，同时派发现金红利0.8元。　根...,正向
超跌反弹新龙头板块呼之欲出,超跌反弹新龙头板块呼之欲出,正向
挺住，不要交出你的筹码,挺住，不要交出你的筹码,正向
中户没参与兴趣，小户犹豫不决，大户和超大户互掐，韭菜在哪里？,中户没参与兴趣，小户犹豫不决，大户和超大户互掐，韭菜在哪里？,中性
哈哈，小绵羊跟大盘走的一模一样,哈哈，小绵羊跟大盘走的一模一样,正向
诱多出货,诱多出货？,负向
大盘今天应该涨3%的，是伊利这个垃圾今天拖大盘后腿了,大盘今天应该涨3%的，是伊利这个垃圾今天拖大盘后腿了,负向
完全看不懂主力的手法，好吧，我等小散，只求分杯羹。今天还好忍住了，顶过了伊利最黑,完全看不懂主力的手法，好吧，我等小散，只求分杯羹。今天还好忍住了，顶过了伊利最黑暗的一段时间。,中性
想请伊利官方出来解释，为什么股价一直跌，这么控盘有何用意,想请伊利官方出来解释，为什么股价一直跌，这么控盘有何用意？,负向
伊利还是先期的颈线是观察点，如果不破就是做个盘整区间，破了的话短期不容乐观，该减,伊利还是先期的颈线是观察点，如果不破就是做个盘整区间，破了的话短期不容乐观，该减仓就得减仓。要根据自己的操作做进出的把我。,中性
伊利的每股净资产，怎么一直在变少，现在都才3块多了,伊利的每股净资产，怎么一直在变少，现在都才3块多了？,负向
25.8就是涨不上去不赞不赞不赞,25.8就是涨不上去[不赞][不赞][不赞],负向
今天还不知道跟哪个爹，先把租综A50跟紧。,今天还不知道跟哪个爹，先把租综A50跟紧。,中性
完了，又被洗出来了,完了，又被洗出来了,负向
28.50左右清仓了，伊利是我持有股票中赚的最多的一支，感谢！我是稳健投资者投,28.50左右清仓了，伊利是我持有股票中赚的最多的一支，感谢！我是稳健投资者（投机者），保护本金是最重要的，我已转战基金，打算定投基金，因为不管白马黑马都难免马失前蹄，得不偿失。最后给吧里的朋友们一句建议，长线持有固然可能是对的，但是也应该顺势而为。,正向
涨，下午收盘33.5以上,涨，下午收盘33.5以上,正向
对投资各方持仓成本分析,缩量调整中,中性
自娱自乐。,自娱自乐!。,负向
分析白马股，一定不要在意股价短期波动，和短期滞涨，有那闲时间可以多看看业绩报表，,分析白马股，一定不要在意股价短期波动，和短期滞涨，有那闲时间可以多看看业绩报表，多研究一下历年的营收、利润率、资产平均收益率，业绩良好，纵使股价波动剧烈，最终也会回归内在价值，股票市场每天波动若如市场先生的情绪，日线的剧烈抖动，多年后回首，只是一个底端。[大笑][大笑]多看看伊利的月线季线年线，喜欢伊利股，就要对他充满信心。[大笑]把自己想象成企业管理者，难道还会唱空自己的企业吗？,正向
哎，上不了18,哎，上不了18,负向
两个字，不卖，任你东南西北到处割，迟早给我加倍还回来。,两个字，不卖，任你东南西北到处割，迟早给我加倍还回来。,负向
要砸就砸狠点，别那么婆婆妈妈,要砸就砸狠点，别那么婆婆妈妈,负向
32进嘛拜神,32进嘛[拜神],中性
伊利没救了，抛了删,伊利没救了，抛了～删,负向
挺不住了，29.73清仓,挺不住了，29.73清仓,负向
滚下去,滚下去,负向
哈哈哈哈哈哈哈哈缺口补上了,[围观],正向
伊利一个大企业，一个谣言股价跌成这样，没安好心。,伊利一个大企业，一个谣言股价跌成这样，没安好心。,负向
伊利会缓慢上涨,最近伊利股份资金总体呈净流入状态，底部也逐步抬高，我觉得会缓慢上涨，而且明年6月份放开MSCI，外资也会买入伊利股份这类的绩优成长蓝筹股，股价会稳步抬升，伊利大家预计2017年年报会很好，也会抬升股价。个人见解，仅供参考，盈亏自负。,正向
今天有能涨两个点吗,今天有能涨两个点吗,中性
千万不要：萎靡不振！加油加油加油加油,千万不要：萎靡不振！[加油][加油][加油][加油],正向
那边分众传媒上不去，感觉富时50没加分。,那边分众传媒上不去，感觉富时50没加分。,负向
今日收盘价15.38,今日收盘价15.38,中性
这几天国内机构出了不少资金,这几天国内机构出了不少资金,中性
这么大的企业倒下去谁都没好处，我就赌伊利没事，输了就输了，我愿赌服输，,这么大的企业倒下去谁都没好处，我就赌伊利没事，输了就输了，我愿赌服输，,正向
年底前不会再跌了，最后介入机会。,年底前不会再跌了，最后介入机会。,正向
伊利股份操作思路个人解析,中国股市有个有意思的现象，那就是两会前涨的概率比较高，两会中跌的概率比较高，历史数据表明，从2005年-2015年，2月份大盘上涨9次，下跌仅2次，且跌幅均不超过2%，上涨概率81.81%。主要是对两会有比较好的憧憬！一些板块有利好的可能！但是两会中，随着一些利好被证伪，则以跌居...,中性
大步向前莫回头,伊利从此开启新航程，看谁坐得稳，乘得久，走得远！,正向
环保节能中最具潜力股必看！机会来了,环保节能中最具潜力股 必看！机会来了,正向
某些鸡精被T飞了,都是被惯坏了，自以为能做短差，默默的筹码就少了，没力压价。价下不来回不去，只好出局。,负向
见证2000亿市值,见证2000亿市值,正向
27.29谁在建仓,27.29谁在建仓,中性
伊利走势分析,个人感觉伊利要涨了。 技术指标上来看 1.伊利三连阳，底部重心上移，前天26.82 昨天26.9 今天27.27 2.量能开始逐步放大。12.5、14、19.7亿  3.隐隐有压盘的感觉。 4.站上年线和28关口。 5.上证指数放量上涨，系统性风险降低。 6.股吧人气减少。 7....,正向
我,是,中性
周线超跌反弹！现在的股市和美股一样，涨跌一天到位，一周甚至一个月一天就到位了，中,周线超跌反弹！现在的股市和美股一样，涨跌一天到位，一周甚至一个月一天就到位了，中间盘整磨死你！消费价值股也变成随大盘且暴涨的模式了！按理应该是小阳不断，不理牛熊！展望六月，应该不是大涨的行情，否则三季度没好果了吃！,负向
专治各种不服,专治各种不服,负向
0下半年策略：小盘央企超跌低价实质性重组并购国际制造名企,下半年策略：小盘央企+超跌+低价+实质性重组+并购国际制造名企  小盘央企：央企乃国之命脉，一般无减持之优 超跌：必有报复性反弹 低价：群众基础好 实质性重组：爆发力足、上涨空间广阔 并购国际制造名企：一步到位，实现制造技术弯道超车，大幅提升产品价值空间  五合一，风神股份（60...,中性
还没好好的说声再见,现实轻轻的划了界限,中性
卖压,卖压,负向
哪天分红出公告了吗,哪天分红出公告了吗？,中性
有猫腻为什么,有猫腻[为什么],负向
业绩做假，所以不敢涨。,业绩做假，所以不敢涨。,负向
今晚公布三季报，可能低于预期。,[摊手],负向
再一次受到冲击；随后,公司以1.52亿元将清远市房产出售给广州市大洋房地产公司,负向
卖早了，27.8就全卖了,卖早了，27.8就全卖了,负向
明天需要开盘就卖么成本16,明天需要开盘就卖么？成本16,中性
还好跑得快,还好跑得快,负向
沙老师，好坚挺哦。。,沙老师，好坚挺哦。。,正向
费劲啊,不地道,中性
去同花顺看了看，最近一个月资金流出了30个亿，各位有什么看法,去同花顺看了看，最近一个月资金流出了30个亿，各位有什么看法,正向
又要举牌了,又要举牌了,正向
今日调整已成定局，下午大盘还有回落，伊利会随大盘做调整。,今日调整已成定局，下午大盘还有回落，伊利会随大盘做调整。,负向
可以抄底了，准备好养老金，上,可以抄底了，准备好养老金，上,正向
支持伊利！啥也不说！,支持伊利！啥也不说！,正向
有一股力量不允许伊利再掉价。。。大家觉得呢,有一股力量不允许伊利再掉价。。。大家觉得呢？,中性
人长的白白净净，走在路上老是昂着头不正眼,人长的白白净净，走在路上老是昂着头不正眼,负向
估计上涨5个点,[赞][牛][赚大了],正向
主力这手玩的高，把资金从伊利撤出，去买银行稳指数买科技股玩科创板赚钱，不断阴跌让,主力这手玩的高，把资金从伊利撤出，去买银行稳指数买科技股玩科创板赚钱，不断阴跌让小散对伊利业绩产生怀疑，被迫抛出，去接飞刀，自己再回来继续喝奶收割。,负向
烂泥扶不上墙,烂泥扶不上墙,负向
随便你折腾，不到20,随便你折腾，不到20,正向
大概22点以后看得到伊利的17年报和18年1季报，快了，耐心等待。,大概22点以后看得到伊利的17年报和18年1季报，快了，耐心等待。,正向
围而不攻，庄家依然采取慢牛走势不变。,围而不攻，庄家依然采取慢牛走势不变。,中性
明天买伊利还可以分红吗,明天买伊利还可以分红吗,中性
2638点100%不是底，因为这是救市救出来的政策底，历史经验教训告诉我们，政策,重要事情说三遍，跌停跌停跌停,负向
昨天32.19没卖等哭,昨天32.19没卖 等哭,负向
这行情8太需要医药来治疗了！！！！！,这行情8太需要医药来治疗了！！！！！,负向
隔壁华东医药因为糖尿病药降价跌成鬼了,隔壁华东医药因为糖尿病药降价跌成鬼了,负向
筑底需要时间，短期难有作为,复星医药从26元左右开始下跌，如今股价已经跌去了1/3，真可谓元气大伤，如今K线走得极其难看，各路均线压制厉害，短线难有作为。如果想要短期获利了结，最好远离该股。如果想要做长线投资，可以忍受长达3-5年时间，则可以持有该股，将来一定会有不菲的回报。,负向
