用户股吧年龄,用户昵称,个股名称,评论标题,评论内容,发帖时间,标签,label
5.1年,猜我头像是谁,山东黄金(600547.sh),金贵突然暴拉五个点。爽,就是,2017/8/2 10:22,中性,0
6.5年,股友SV9Gut,山东黄金(600547.sh),黄金还是会涨的，现在不买更待何时,黄金还是会涨的，现在不买更待何时,2019/8/27 9:53,正向,1
6.7年,续竹内吓准5910,山东黄金(600547.sh),资金筹资，揭秘接下是庄家阴谋诡计，还是大好行情的预兆！,资金筹资，揭秘接下是庄家阴谋诡计，还是大好行情的预兆！,2016/7/7 22:48,中性,0
7.5年,夕晨30934,山东黄金(600547.sh),一直有人在暗中吸筹，太可恶了，就是不涨。只要不出现涨停板，就持股待涨。反复无常的,一直有人在暗中吸筹，太可恶了，就是不涨。只要不出现涨停板，就持股待涨。反复无常的,2016/7/21 10:44,负向,-1
3.5年,看好_剑桥科技,山东黄金(600547.sh),已重仓黄金，坐等吃肉,已重仓黄金，坐等吃肉,2019/5/8 14:07,正向,1
6.2年,股友PGIpWF,山东黄金(600547.sh),为什么这么多人认为山东黄金和期货金没关系关系太大了。,随便找几个高低点，比如今年7月7日，10月10日，11月9日， 和期货黄金完全吻合。 怎么那么多人睁眼说瞎话呢？ 黄金期货即将反弹，就这几天。山东黄金也会随着反弹。,2016/12/13 15:21,中性,0
7.3年,蒼茫大地,山东黄金(600547.sh),联手山东,联手山东,2016/6/17 11:06,中性,0
3.2年,南无free,山东黄金(600547.sh),只有真正理解慢就是快的人才适合买山金，那些喜欢赚快钱的人请远离此股。,只有真正理解慢就是快的人才适合买山金，那些喜欢赚快钱的人请远离此股。,2019/5/27 17:49,正向,1
4.7年,兜兜里的杀手,山东黄金(600547.sh),31.63建仓，享受一波金灿灿的中期行情,31.63建仓，享受一波金灿灿的中期行情,2018/1/30 13:22,正向,1
3.3年,闪闪的小熊,山东黄金(600547.sh),恭喜山金一改颓势，怒涨2分摊手摊手摊手,恭喜山金一改颓势，怒涨2分[摊手][摊手][摊手],2019/4/19 15:02,正向,1
6.8年,mmmuaaa,山东黄金(600547.sh),今天不涨5个点那么就可以完全看出操纵股价，那这股就没意思了，还是散了吧，什么利好,今天不涨5个点那么就可以完全看出操纵股价，那这股就没意思了，还是散了吧，什么利好都没用。,2018/1/12 9:56,负向,-1
3年,Anki1,山东黄金(600547.sh),炸盘啦,炸盘啦,2019/10/21 14:31,负向,-1
4.9年,靓坤学炒股,山东黄金(600547.sh),明天大概率高开,明天大概率高开,2019/12/11 2:58,正向,1
7.2年,喜欢音乐dr3bkg,山东黄金(600547.sh),闲来无聊，大家可以猜猜港股山东黄金的发行价,短线客就不用猜了，我先猜25,2017/12/13 14:12,中性,0
9.1年,我就是潘金莲13,山东黄金(600547.sh),到14元,到14元,2019/10/30 13:54,中性,0
7.8年,今天111111111,山东黄金(600547.sh),还是跑吧！！,还是跑吧！！,2017/8/17 14:24,负向,-1
4.7年,股友Mnpity,山东黄金(600547.sh),现在美元是避险，品种，黄金正好，相反,现在美元是避险，品种，黄金正好，相反,2018/9/5 13:33,中性,0
6.8年,jqiankvw8625,山东黄金(600547.sh),磨死筹码的局想一下。,磨死筹码的局[想一下]。,2017/12/20 2:42,负向,-1
6.5年,骑着单车望奔驰,山东黄金(600547.sh),拿出你昔日龙头老大的气势好吗,拿出你昔日龙头老大的气势好吗,2017/12/28 13:21,负向,-1
7年,逸青珏妹瑞4604,山东黄金(600547.sh),v前的拖单迷惑为了出货,前的拖单迷惑为了出货,2017/1/18 9:09,中性,0
4.2年,股友DgkFb9,山东黄金(600547.sh),四年来的醒悟黄金才是硬通货,四年来的醒悟……黄金才是硬通货,2019/3/21 18:31,中性,0
2.9年,股友336756dC78,山东黄金(600547.sh),今天是上车机会,今天是上车机会,2019/8/27 11:09,正向,1
7.2年,王小考,山东黄金(600547.sh),破新高了哦,崛起吧,2016/3/7 14:17,正向,1
4.9年,股海洞察帝,山东黄金(600547.sh),大家早上好，龙头切换了，不知道你们注意到没有,大家早上好，龙头切换了，不知道你们注意到没有？,2019/8/15 6:33,中性,0
9.3年,拂晓晨明,山东黄金(600547.sh),中阴结束反弹,中阴结束反弹,2019/10/24 15:17,中性,0
3.5年,雄心勃勃之阿克索,山东黄金(600547.sh),黄金完了彻底完了,黄金完了彻底完了,2019/8/13 22:24,负向,-1
6.8年,鲁T公,山东黄金(600547.sh),那几个冒绿光的，全部买进！,那几个冒绿光的，全部买进！,2018/8/6 13:08,正向,1
9.4年,东财网友3758513584790126,山东黄金(600547.sh),看西金,看西金,2018/3/13 10:14,中性,0
6.9年,A光9fsdf,山东黄金(600547.sh),山东黄金号外来咯,山东黄金号外来咯,2016/7/7 17:18,正向,1
4.6年,沙吾尔大叔,山东黄金(600547.sh),基本素质不行,基本素质不行，被套，割肉。,2018/3/27 17:45,负向,-1
4.1年,熙熙攘攘1,山东黄金(600547.sh),理论上石油涨黄金也会涨的,理论上石油涨黄金也会涨的,2019/9/16 10:22,正向,1
8.7年,风中海军,山东黄金(600547.sh),我比较：http,我比较：http,2018/8/10 11:35,中性,0
6.2年,欧耶驾到,山东黄金(600547.sh),天齐这个二逼呢,天齐这个二逼呢,2016/10/26 11:49,负向,-1
4.2年,股友DgkFb9,山东黄金(600547.sh),秋波媚媚谈黄金不要关注黄金衍生产品，comex价格，而要了解中国人民，世界人,秋波媚媚谈黄金……不要关注黄金衍生产品，comex价格，而要了解中国人民，世界人民对黄金的需求,2018/10/25 22:44,中性,0
7年,陈军2018,山东黄金(600547.sh),为什么山东黄金，中金黄金不怎么涨价。原因非常简单，他们都是外购金，黄金涨价他们进,为什么山东黄金，中金黄金不怎么涨价。原因非常简单，他们都是外购金，黄金涨价他们进价也贵，所以没什么作用。只有恒邦股份和湖南黄金才是自己采矿。但是恒邦黄金有百分三十是铜矿，湖南黄金百分九十是金。还有恒邦收入是湖南黄金两倍，但是利润只多5000万，谁牛大家心理有数了吧！,2018/4/12 22:19,中性,0
5.4年,股友e6AZpf,山东黄金(600547.sh),一涨不知道又套了多少不服抄底的人了,一涨不知道又套了多少不服抄底的人了,2017/5/19 14:28,负向,-1
6.7年,点说可能是看到了,山东黄金(600547.sh),只要不停牌我就不卖。,只要不停牌 我就不卖。,2017/11/9 23:57,中性,0
8.3年,真火炼真金7664,山东黄金(600547.sh),我一笔闲钱对山东黄金进行长期投资；希望将来能大富大贵。,我一笔免用的闲钱做长期投资,2017/3/16 22:22,正向,1
5.8年,足智多谋de苗人凤,山东黄金(600547.sh),下周一跌停板板上钉钉子的事,下周一跌停板板上钉钉子的事,2019/10/18 14:35,负向,-1
6.3年,无心炒谷,山东黄金(600547.sh),坑抢无力,坑抢无力,2016/10/13 14:10,负向,-1
6.8年,HX3F2U9,山东黄金(600547.sh),今天山东黄金应该涨停板了吧！,今天山东黄金应该涨停板了吧！,2018/1/9 3:50,正向,1
5.1年,逍遥山人ai,山东黄金(600547.sh),山东黄金今天高开高走，握着筹码，踏上黄金牛市！！！,山东黄金今天高开高走，握着筹码，踏上黄金牛市！！！,2019/7/11 10:28,正向,1
4.2年,神经股侠8772,山东黄金(600547.sh),妈的多谢庄家让我解套，我会永远离开此股，谢谢！！！,妈的多谢庄家让我解套，我会永远离开此股，谢谢！！！,2018/4/3 14:07,负向,-1
6年,杨树凤,山东黄金(600547.sh),美俄因叙利亚备战，黄金疯了！,美俄因叙利亚备战，黄金疯了！,2018/4/10 19:52,正向,1
7.1年,韩老魔,山东黄金(600547.sh),26元见。,26元见。,2019/4/19 11:43,中性,0
6.5年,不忘初衷_腾2495,山东黄金(600547.sh),今天又创新高,今天又创新高,2019/8/15 9:12,正向,1
4.5年,股友AHxWvR,山东黄金(600547.sh),春天来啦，万里江山一片绿！大笑大笑大笑大笑,春天来啦，万里江山一片绿！[大笑][大笑][大笑][大笑],2019/4/11 11:35,负向,-1
2.9年,炒股男难于上青天,山东黄金(600547.sh),这真的是不涨停，涨不停啊,这真的是不涨停，涨不停啊,2019/8/30 14:09,正向,1
9.3年,n333113618525070,山东黄金(600547.sh),昨天晚上认真查了一下金鸿顺这么公司，虽然近来净利润有点下滑，但是看完综合对比一下,昨天晚上认真查了一下金鸿顺这么公司，虽然近来净利润有点下滑，但是看完综合对比一下,2018/7/3 3:40,正向,1
4.3年,潇洒哥92759,山东黄金(600547.sh),亏了3个点2万走了，黄金整体走低了要,亏了3个点2万走了，黄金整体走低了要,2018/3/22 15:06,负向,-1
8.1年,布衣衣衣,山东黄金(600547.sh),有3至5天的行情,有3至5天的行情,2017/9/4 16:17,中性,0
5.1年,情窦初开只为等你,山东黄金(600547.sh),今天外界整体环境不好，黄金下午肯定拉升,今天外界整体环境不好，黄金下午肯定拉升,2019/11/6 9:53,正向,1
7.3年,股友39ew3r3885,山东黄金(600547.sh),其他超跌的都有反弹了，唯独山东黄金跌跌不休，还天天公布利好出货，国际期金跌它也跌,其他超跌的都有反弹了，唯独山东黄金跌跌不休，还天天公布利好出货，国际期金跌它也跌，涨它也跌！,2017/6/20 11:22,负向,-1
7年,朔虎文余8384,山东黄金(600547.sh),不知不觉入市七年了,不知不觉入市七年了,2017/1/5 5:05,中性,0
10.5年,财富长沙股友,山东黄金(600547.sh),明天股东大会来个涨停板,明天股东大会来个涨停板,2016/4/21 20:57,正向,1
6.9年,Hgfdsajkl,山东黄金(600547.sh),能涨停吗,能涨停吗？,2016/2/24 13:51,正向,1
7.1年,逆光乘风破浪,山东黄金(600547.sh),被洗出的有啥想法没,被洗出的有啥想法没？,2019/8/7 21:59,中性,0
3.4年,懂得打板地霹雳虎,山东黄金(600547.sh),健康洗盘,健康洗盘,2019/9/25 10:47,中性,0
7年,李枫78,山东黄金(600547.sh),火速建仓青松股份，大牛,创业板整体走势较强 后市会有更好表现,2017/3/17 8:17,正向,1
7.4年,股友5v6336l993,山东黄金(600547.sh),黄金龙头股，根据浪形结构，应该是C浪主升浪，上涨幅度不会小于A浪，不破21元,黄金龙头股，根据浪形结构，应该是C浪(主升浪)，上涨幅度不会小于A浪，不破21元，不减持，择机增仓，个人观点，尽情参考。[牛][牛],2016/2/28 8:26,正向,1
6.8年,股友wCgIto,山东黄金(600547.sh),谈及那一场股灾风波，高杠杆工具谈及那一场股灾风波，对不少投资者而言，还是心有余悸,谈及那一场股灾风波，高杠杆工具谈及那一场股灾风波，对不少投资者而言，还是心有余悸的。,2017/3/4 11:07,负向,-1
5.7年,一定会有啊,山东黄金(600547.sh),痛心啊，前两天还有5家券商研报看好,痛心啊，前两天还有5家券商研报看好,2019/9/7 18:01,正向,1
6.1年,梧桐十三叶4467,山东黄金(600547.sh),大盘强势确立，大家放心进，,大盘强势确立，大家放心进，,2016/10/24 10:45,正向,1
6.9年,bds6908698,山东黄金(600547.sh),都认为黄金股要看期金的脸色，也不全是吧。山金从高位下来跌了近30%，期金跌了多少,都认为黄金股要看期金的脸色，也不全是吧。山金从高位下来跌了近30%，期金跌了多少？调整主要还是获利盘较多，主力顺势而为。如果说和期金有关系，估计也就两成，另外八成要看大盘的表现和主力的意图了。短线超卖是一定的，反弹也是必然，弹多高要看量能了。等等吧，如果再放量下跌，也只能顺势而为，，，希望美国经济变糟糕，美元贬值，黄金扭转颓势，，,2019/11/9 16:22,中性,0
8.6年,踏雪无痕0371,山东黄金(600547.sh),山金涨不起来的根本原因是前期涨的太猛了,RT,2017/3/1 13:19,中性,0
6.7年,没长记性的6772,山东黄金(600547.sh),山东黄金通告：全世界黄金都涨就我不涨你们能奈我何全世界股票都跌就我不跌你们又能,山东黄金通告：全世界黄金都涨就我不涨你们能奈我何?全世界股票都跌就我不跌你们又能奈我何?我就这么任性!,2016/2/27 19:37,正向,1
8.1年,alfloong,山东黄金(600547.sh),果然西部黄金才是龙头！,果然西部黄金才是龙头！,2016/1/11 13:37,正向,1
7.3年,零零發008發發發,山东黄金(600547.sh),如果黄金指数涨到200025003000美元山东黄金的利润有多少,如果黄金指数涨到2000 2500 3000美元 山东黄金的利润有多少 哪位大神请详细说明下！谢谢！,2017/10/20 13:23,中性,0
4.9年,Hunter121108,山东黄金(600547.sh),纯粹对冲大盘急跌,纯粹对冲大盘急跌,2019/2/19 12:02,负向,-1
4.7年,鼠年建仓牛年丰收,山东黄金(600547.sh),高潮过后，又是一地鸡毛,亚麻跌，挺住！,2018/10/10 9:26,负向,-1
6.2年,蓝色天空AAA4420,山东黄金(600547.sh),拿稳就好,突破40就一路高歌[赞],2019/9/5 11:20,正向,1
9.5年,x小蚂蚁y,山东黄金(600547.sh),洗盘结束！见了红！！！明后两天上42元！！！！！,洗盘结束！见了红！！！明后两天上42元！！！！！,2016/11/16 15:07,正向,1
10.4年,神一样de人物2011,山东黄金(600547.sh),民生：全球宽松根本停不下来美债和黄金同强的局面会经常出现,2月15日消息，民生证券发布研报认为，投资者用无所不在的恐慌告诉全球的决策者，紧缩依然是不可承受之重，宽松根本停不下来。1、全球经济仍挣扎在结构调整的泥潭中，远没有上岸；2、中国等后调整国家才刚进入破旧攻坚期，去产能是当下绕不过去的坎，这势必带来前期累积风险的释放，中国将采取货币...,2016/2/15 22:08,中性,0
4.2年,股友xJBRFb,山东黄金(600547.sh),黄金要耗尽了,黄金要耗尽了？,2019/3/28 13:09,负向,-1
6.1年,Tissto1953,山东黄金(600547.sh),赚钱了的就快点跑，还在等什么,[怒],2016/4/27 14:50,正向,1
9.1年,A要A,山东黄金(600547.sh),后市似乎要来蛮牛行情了！,后市似乎要来蛮牛行情了！,2018/8/10 6:46,正向,1
4.3年,佛系小萨米,山东黄金(600547.sh),只要大哥不动，就不算行情，下午会跌的,只要大哥不动，就不算行情，下午会跌的,2019/8/8 10:49,负向,-1
5.9年,剑圣独孤九剑,山东黄金(600547.sh),我回来了,我回来了,2019/11/8 10:55,中性,0
4.9年,余发过来,山东黄金(600547.sh),去你妈的垃圾,去你妈的垃圾,2019/5/7 9:24,负向,-1
3.1年,星汉灿烂2019,山东黄金(600547.sh),又上51了，，，看来大家还是要分点红谷玩玩。,又上51了，，，看来大家还是要分点红谷玩玩。,2019/8/16 14:10,正向,1
